,0,1
0,0,39
1,0,84
2,0,131
3,0,136
4,0,146
5,0,150
6,0,163
7,0,186
8,0,189
9,0,212
10,0,235
11,0,241
12,0,263
13,0,272
14,0,284
15,0,291
16,0,304
17,0,312
18,0,319
19,0,345
20,0,346
21,0,361
22,0,367
23,0,395
24,1,39
25,1,84
26,1,119
27,1,131
28,1,136
29,1,146
30,1,150
31,1,163
32,1,186
33,1,189
34,1,212
35,1,235
36,1,241
37,1,263
38,1,272
39,1,284
40,1,288
41,1,291
42,1,304
43,1,312
44,1,319
45,1,345
46,1,346
47,1,361
48,1,367
49,1,395
50,2,12
51,2,39
52,2,84
53,2,131
54,2,136
55,2,146
56,2,150
57,2,163
58,2,177
59,2,186
60,2,189
61,2,212
62,2,235
63,2,241
64,2,263
65,2,272
66,2,284
67,2,291
68,2,304
69,2,312
70,2,319
71,2,345
72,2,346
73,2,361
74,2,367
75,2,395
76,3,39
77,3,84
78,3,106
79,3,121
80,3,136
81,3,146
82,3,163
83,3,186
84,3,189
85,3,212
86,3,216
87,3,235
88,3,241
89,3,263
90,3,272
91,3,291
92,3,304
93,3,312
94,3,319
95,3,345
96,3,346
97,3,361
98,3,367
99,3,395
100,4,39
101,4,84
102,4,121
103,4,136
104,4,146
105,4,163
106,4,186
107,4,189
108,4,212
109,4,216
110,4,235
111,4,241
112,4,263
113,4,272
114,4,291
115,4,304
116,4,312
117,4,319
118,4,345
119,4,346
120,4,361
121,4,367
122,4,395
123,5,39
124,5,53
125,5,84
126,5,121
127,5,136
128,5,146
129,5,163
130,5,186
131,5,189
132,5,194
133,5,212
134,5,216
135,5,241
136,5,272
137,5,291
138,5,312
139,5,319
140,5,345
141,5,346
142,5,361
143,5,367
144,5,395
145,5,401
146,5,417
147,6,33
148,6,39
149,6,40
150,6,47
151,6,53
152,6,84
153,6,121
154,6,136
155,6,146
156,6,150
157,6,157
158,6,163
159,6,186
160,6,189
161,6,194
162,6,212
163,6,216
164,6,241
165,6,272
166,6,284
167,6,291
168,6,304
169,6,311
170,6,312
171,6,319
172,6,345
173,6,346
174,6,361
175,6,367
176,6,395
177,6,417
178,7,2
179,7,33
180,7,39
181,7,40
182,7,53
183,7,84
184,7,118
185,7,121
186,7,136
187,7,141
188,7,146
189,7,150
190,7,163
191,7,186
